crimeCategory,latitude,longitude
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.977491,77.545756
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.972117,77.537936
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.958014,77.534787
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.973913,77.54629
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.968827,77.53676
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.975742,77.564351
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.975593,77.561702
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.963616,77.58511
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.975843,77.587373
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.970486,77.592107
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.967705,77.589607
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.970655,77.583147
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.974056,77.553358
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.978233,77.553236
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.975458,77.554725
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.954632,77.548263
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.974568,77.542635
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.974563,77.554256
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.974563,77.554526
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.974563,77.557849
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.974856,77.548263
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.958857,77.667531
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.958857,77.667531
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.958857,77.667531
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.958857,77.667531
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.958857,77.667531
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.958857,77.667531
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.958857,77.667531
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.958857,77.667531
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.958857,77.667531
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.958857,77.667531
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.958857,77.667531
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.958857,77.667531
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.962321,77.66843
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.958857,77.667531
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.981045,77.601986
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.987848,77.603685
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.978335,77.604971
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.007456,77.548569
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.876069,77.61326
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.856381,77.588846
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.868289,77.616179
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.893324,77.637077
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.883585,77.64309
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.893277,77.614321
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.87551,77.595297
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.85538,77.588784
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.935701,77.548869
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.015766,77.629152
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.019129,77.630021
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.87949,77.595307
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.014377,77.649105
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.929989,77.629243
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.925486,77.638307
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.930732,77.624598
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.924949,77.633902
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.928127,77.621254
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.928406,77.636583
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.936213,77.617293
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.940802,77.623657
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.941209,77.60877
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.947776,77.619503
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.935547,77.615606
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.938768,77.602123
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.014632,77.647512
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.008291,77.64195
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.00063,77.549709
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.005318,77.642259
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.014285,77.648996
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.011433,77.554469
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.012424,77.556243
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.982405,77.563712
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.007486,77.548691
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.006644,77.564589
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.00737,77.568187
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.001588,77.576866
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.014519,77.627174
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.935701,77.592684
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.001919,77.571227
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.011104,77.645666
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.97212,77.512949
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.935591,77.513121
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.008382,77.607894
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.926322,77.583692
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.962572,77.580036
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.963487,77.581191
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.929467,77.584925
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.912204,77.585445
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.905847,77.585776
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.928568,77.584809
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.923544,77.577985
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.896915,77.585425
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.905567,77.588318
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.927852,77.586319
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.905801,77.585773
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.896046,77.512689
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.90262,77.519968
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.913994,77.610109
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.891581,77.608124
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.952567,77.583373
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.959068,77.576962
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.963845,77.578399
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.952594,77.583352
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.916207,77.573688
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.925564,77.579625
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.914674,77.598393
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.906503,77.582888
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.969299,77.575482
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.963669,77.5798
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.962614,77.579755
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.95472,77.580042
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.959318,77.660661
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.985747,77.645085
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.975369,77.669002
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9917,77.652598
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.959833,77.648904
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.947658,77.653185
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.972997,77.676834
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.991599,77.652148
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.974893,77.67022
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.960522,77.643701
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.982769,77.645757
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.971102,77.647323
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.966816,77.66159
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.976422,77.655204
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.992777,77.663778
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.968163,77.651563
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.942567,77.561346
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.942313,77.567671
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.940258,77.579275
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.970655,77.592344
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.948188,77.573731
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.949337,77.571582
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.935384,77.556563
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.935675,77.572827
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.947827,77.582213
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.951069,77.595376
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.946068,77.587543
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.945461,77.585946
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.956094,77.592178
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.944682,77.585711
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.97654,77.51293
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.011626,77.538599
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.987899,77.559643
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.958275,77.586446
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.939531,77.593366
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.953976,77.591029
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.945915,77.595628
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.953822,77.591428
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9461,77.593389
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.955123,77.585651
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.972732,77.512084
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9915,77.556119
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.018646,77.531881
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.001745,77.525697
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.985049,77.556167
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.007892,77.547465
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.012559,77.556696
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.016585,77.534015
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.014727,77.530658
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.986979,77.560485
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.000521,77.53365
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.001265,77.524952
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.000547,77.544676
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.96919,77.51269
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.014642,77.551514
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.005947,77.548206
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.005798,77.54819
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.012013,77.544007
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.940602,77.572136
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.938401,77.586257
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.964623,77.566375
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.950304,77.558133
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.948885,77.569283
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.941698,77.573761
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.94434,77.572771
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.947965,77.568059
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.944396,77.577109
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.943667,77.567921
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.948199,77.570172
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.950845,77.573736
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.932983,77.572511
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.941913,77.553595
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.937588,77.574197
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.943678,77.573932
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.947381,77.564248
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.983804,77.518765
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.979618,77.516958
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.012939,77.663748
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.945214,77.542451
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.986797,77.520441
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.992225,77.610407
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.000905,77.613366
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.00006,77.625528
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.98256,77.59456
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.981824,77.594794
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.976448,77.589805
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.98256,77.59456
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.974802,77.606612
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.987719,77.519005
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.983982,77.522791
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.972442,77.580643
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.946084,77.526998
